category,object_name,check_name,hash_value
TABLE,reports,Columns Hash,c8e3b6af75b6dbd146bebd82e1ec3cf3
TABLE,reports,Constraints Hash,5d0b8c727a218a975efe5d47e7ad8ed2
TABLE,reports,RLS Enabled,true
TABLE,reports,Policies Hash,72cfa08a3c5bc9db28c1cf77378ba9e4
TABLE,reports,Table Grants Hash,2b9c091ca1e833bc17c2e2779303b708
TABLE,reports,Sequence Grants Hash,none
TABLE,reports,Triggers Hash,0f6325246329788b596d8a5c1ad1ef69
TABLE,users,Columns Hash,0182b3a930c5037c3cb0c3743ae38ffc
TABLE,users,Constraints Hash,16f7688cb6245c74d9d016bb1b9312f2
TABLE,users,RLS Enabled,true
TABLE,users,Policies Hash,bede161ae16559ab83d18fed59b25232
TABLE,users,Table Grants Hash,2b9c091ca1e833bc17c2e2779303b708
TABLE,users,Sequence Grants Hash,none
TABLE,users,Triggers Hash,ecd63dd2174bd9bb941350251931cbb3
--- SHARED / OWNERSHIP UNRESOLVED / PROTECTED FUNCTIONS ---,,,
FUNCTION,can_insert_admin_profile,Signature,
FUNCTION,can_insert_admin_profile,Return Contract,boolean
FUNCTION,can_insert_admin_profile,Security Definer,true
FUNCTION,can_insert_admin_profile,Volatility,v
FUNCTION,can_insert_admin_profile,Owner,postgres
FUNCTION,can_insert_admin_profile,Config/Search Path,search_path=public
FUNCTION,can_insert_admin_profile,Definition Hash,7f2a6dff5fb1ac4aa479375865e327e3
FUNCTION,can_insert_admin_profile,Execute Grants Hash,18ca3c44a1b35eabf782098bd768fa34
FUNCTION,current_app_role,Signature,
FUNCTION,current_app_role,Return Contract,text
FUNCTION,current_app_role,Security Definer,true
FUNCTION,current_app_role,Volatility,s
FUNCTION,current_app_role,Owner,postgres
FUNCTION,current_app_role,Config/Search Path,"search_path=public, pg_temp"
FUNCTION,current_app_role,Definition Hash,7afe13c46d0425654328d0222d578f76
FUNCTION,current_app_role,Execute Grants Hash,fbd55ef2d517f7085f38aa07351a96d3
FUNCTION,get_leaderboard_reference_members,Signature,
FUNCTION,get_leaderboard_reference_members,Return Contract,"TABLE(release_member_code text, release_code text, canonical_name text, unit text, ""position"" text)"
FUNCTION,get_leaderboard_reference_members,Security Definer,true
FUNCTION,get_leaderboard_reference_members,Volatility,s
FUNCTION,get_leaderboard_reference_members,Owner,postgres
FUNCTION,get_leaderboard_reference_members,Config/Search Path,"search_path="""""
FUNCTION,get_leaderboard_reference_members,Definition Hash,2b493e59bc65c16686e6e6afb027ec98
FUNCTION,get_leaderboard_reference_members,Execute Grants Hash,2176dc033beec03c4b4539374826f674
FUNCTION,handle_auth_user_email_update,Signature,
FUNCTION,handle_auth_user_email_update,Return Contract,trigger
FUNCTION,handle_auth_user_email_update,Security Definer,true
FUNCTION,handle_auth_user_email_update,Volatility,v
FUNCTION,handle_auth_user_email_update,Owner,postgres
FUNCTION,handle_auth_user_email_update,Config/Search Path,search_path=public
FUNCTION,handle_auth_user_email_update,Definition Hash,ea0510922b59408476a75c15a2882769
FUNCTION,handle_auth_user_email_update,Execute Grants Hash,7df080e2ba59d17a58391dd3b446f14a
FUNCTION,handle_new_auth_user,Signature,
FUNCTION,handle_new_auth_user,Return Contract,trigger
FUNCTION,handle_new_auth_user,Security Definer,true
FUNCTION,handle_new_auth_user,Volatility,v
FUNCTION,handle_new_auth_user,Owner,postgres
FUNCTION,handle_new_auth_user,Config/Search Path,search_path=public
FUNCTION,handle_new_auth_user,Definition Hash,bab4eeaf7cd824785dbb94a7b21a354b
FUNCTION,handle_new_auth_user,Execute Grants Hash,f8f74e754032d6a90dd9b12a5ac77ead
FUNCTION,is_admin,Signature,
FUNCTION,is_admin,Return Contract,boolean
FUNCTION,is_admin,Security Definer,true
FUNCTION,is_admin,Volatility,s
FUNCTION,is_admin,Owner,postgres
FUNCTION,is_admin,Config/Search Path,none
FUNCTION,is_admin,Definition Hash,3905829c1e3782357ae3e30a3f33ac4e
FUNCTION,is_admin,Execute Grants Hash,8633a6a0230a1218a641c2d011a52cd5
FUNCTION,sync_admin_profile,Signature,
FUNCTION,sync_admin_profile,Return Contract,trigger
FUNCTION,sync_admin_profile,Security Definer,true
FUNCTION,sync_admin_profile,Volatility,v
FUNCTION,sync_admin_profile,Owner,postgres
FUNCTION,sync_admin_profile,Config/Search Path,none
FUNCTION,sync_admin_profile,Definition Hash,97b23e268ec13551e8e3520b845fc230
FUNCTION,sync_admin_profile,Execute Grants Hash,bd8c79f09a7b4325ec9ae65eda9b8283
FUNCTION,sync_reporter_identity_snapshot,Signature,
FUNCTION,sync_reporter_identity_snapshot,Return Contract,trigger
FUNCTION,sync_reporter_identity_snapshot,Security Definer,true
FUNCTION,sync_reporter_identity_snapshot,Volatility,v
FUNCTION,sync_reporter_identity_snapshot,Owner,postgres
FUNCTION,sync_reporter_identity_snapshot,Config/Search Path,none
FUNCTION,sync_reporter_identity_snapshot,Definition Hash,61d8acba957cb8989be750759b19688a
FUNCTION,sync_reporter_identity_snapshot,Execute Grants Hash,5b3f0d81d203434f66a473d39b465624
FUNCTION,sync_whatsapp_to_auth_phone,Signature,
FUNCTION,sync_whatsapp_to_auth_phone,Return Contract,trigger
FUNCTION,sync_whatsapp_to_auth_phone,Security Definer,true
FUNCTION,sync_whatsapp_to_auth_phone,Volatility,v
FUNCTION,sync_whatsapp_to_auth_phone,Owner,postgres
FUNCTION,sync_whatsapp_to_auth_phone,Config/Search Path,"search_path=public, auth"
FUNCTION,sync_whatsapp_to_auth_phone,Definition Hash,cbb00c4b72c8b85a0228c21d65f610da
FUNCTION,sync_whatsapp_to_auth_phone,Execute Grants Hash,d9a25555e6796348a912e33e63ec449b
FUNCTION,touch_updated_at,Signature,
FUNCTION,touch_updated_at,Return Contract,trigger
FUNCTION,touch_updated_at,Security Definer,false
FUNCTION,touch_updated_at,Volatility,v
FUNCTION,touch_updated_at,Owner,postgres
FUNCTION,touch_updated_at,Config/Search Path,none
FUNCTION,touch_updated_at,Definition Hash,9b141f76ab14a924a4f7353b3128d507
FUNCTION,touch_updated_at,Execute Grants Hash,3332a356b78800a40c07ece4908ada1a
FUNCTION,update_updated_at,Signature,
FUNCTION,update_updated_at,Return Contract,trigger
FUNCTION,update_updated_at,Security Definer,false
FUNCTION,update_updated_at,Volatility,v
FUNCTION,update_updated_at,Owner,postgres
FUNCTION,update_updated_at,Config/Search Path,none
FUNCTION,update_updated_at,Definition Hash,d43299202a0987f3653ec1f6402e7947
FUNCTION,update_updated_at,Execute Grants Hash,d545dfdaa0f45b51d26cb6991090d4e9
FUNCTION,update_updated_at_column,Signature,
FUNCTION,update_updated_at_column,Return Contract,trigger
FUNCTION,update_updated_at_column,Security Definer,false
FUNCTION,update_updated_at_column,Volatility,v
FUNCTION,update_updated_at_column,Owner,postgres
FUNCTION,update_updated_at_column,Config/Search Path,none
FUNCTION,update_updated_at_column,Definition Hash,bc2cb0ff807595054a511e65ab0af249
FUNCTION,update_updated_at_column,Execute Grants Hash,de12b426e57880771ee4ae6ca26a59c6
--- LEADERBOARD NAMESPACE PRE-CHECK ---,,,
